ACTIVITY DATE/TIME,CALORIES,STEPS,DISTANCE,FLOORS
2017-07-08 11:58:00,6.36899995803833,105,0.0773999989032745,0
2017-07-08 11:59:00,7.64279985427856,115,0.0847999975085258,0
2017-07-08 12:00:00,7.00589990615845,113,0.0833000019192696,1
2017-07-08 12:01:00,7.00589990615845,116,0.0856000036001205,0
2017-07-08 12:02:00,5.73210000991821,105,0.0773999989032745,0
2017-07-08 12:03:00,6.79360008239746,114,0.0841000005602837,0
2017-07-08 12:04:00,7.00589990615845,115,0.0847999975085258,0
2017-07-08 12:05:00,6.79360008239746,119,0.0878000035881996,0
2017-07-08 12:06:00,6.79360008239746,120,0.0885000005364418,0
2017-07-08 12:07:00,6.15670013427734,118,0.0869999974966049,0
2017-07-08 12:08:00,7.00589990615845,111,0.0819000005722046,1
2017-07-08 12:09:00,8.49199962615967,120,0.0885000005364418,2
2017-07-08 12:10:00,8.27970027923584,122,0.0900000035762787,1
2017-07-08 12:11:00,7.64279985427856,120,0.0885000005364418,2
2017-07-08 12:12:00,8.70429992675781,124,0.091499999165535,2
2017-07-08 12:13:00,7.21820020675659,102,0.0751999989151955,1
2017-07-08 12:14:00,6.15670013427734,116,0.0856000036001205,0
2017-07-08 12:15:00,5.9443998336792,78,0.0575000010430813,0
2017-07-08 12:16:00,5.73210000991821,81,0.0597000010311604,0
2017-07-08 12:17:00,7.21820020675659,121,0.089199997484684,1
2017-07-08 12:18:00,4.24599981307983,41,0.0302000008523464,0
2017-07-08 12:19:00,1.37995004653931,0,0,0
2017-07-08 12:20:00,4.03369998931885,4,0.00289999996311963,0
2017-07-08 12:21:00,4.13985013961792,0,0,0
2017-07-08 12:22:00,4.03369998931885,7,0.00510000018402934,0
2017-07-08 12:23:00,5.30749988555908,93,0.0685999989509583,0
2017-07-08 12:24:00,4.24599981307983,37,0.0273000001907349,0
2017-07-08 12:25:00,5.30749988555908,58,0.0428000018000603,0
2017-07-08 12:26:00,5.73210000991821,87,0.0641999989748001,0
2017-07-08 12:27:00,6.15670013427734,108,0.0797000005841255,0
2017-07-08 12:28:00,5.73210000991821,88,0.0649000033736229,0
2017-07-08 12:29:00,5.0952000617981,57,0.0419999994337559,0
2017-07-08 12:30:00,4.67059993743896,0,0,0
2017-07-08 12:31:00,6.15670013427734,89,0.0656000003218651,0
2017-07-08 12:32:00,5.51980018615723,52,0.0383000001311302,0
2017-07-08 12:33:00,5.0952000617981,23,0.0168999992311001,0
2017-07-08 12:34:00,7.00589990615845,119,0.0878000035881996,0
2017-07-08 12:35:00,6.58129978179932,119,0.0878000035881996,0
2017-07-08 12:36:00,5.73210000991821,118,0.0869999974966049,0
2017-07-08 12:37:00,5.73210000991821,119,0.0878000035881996,0
2017-07-08 12:38:00,6.58129978179932,113,0.0833000019192696,0
2017-07-08 12:39:00,7.00589990615845,113,0.0833000019192696,2
2017-07-08 12:40:00,5.73210000991821,111,0.0819000005722046,0
