HEART RATE DATE/TIME,VALUE
2017-07-08 11:09:47,69
2017-07-08 11:09:52,69
2017-07-08 11:09:57,73
2017-07-08 11:10:02,78
2017-07-08 11:10:07,79
2017-07-08 11:10:12,80
2017-07-08 11:10:17,84
2017-07-08 11:10:22,89
2017-07-08 11:10:28,92
2017-07-08 11:10:38,97
2017-07-08 11:10:43,102
2017-07-08 11:10:48,103
2017-07-08 11:10:53,100
2017-07-08 11:10:58,96
2017-07-08 11:11:03,91
2017-07-08 11:11:08,90
2017-07-08 11:11:13,93
2017-07-08 11:11:18,100
2017-07-08 11:11:23,103
2017-07-08 11:11:28,104
2017-07-08 11:11:33,108
2017-07-08 11:11:38,110
2017-07-08 11:11:43,113
2017-07-08 11:11:48,115
2017-07-08 11:12:03,114
2017-07-08 11:12:08,113
2017-07-08 11:12:13,114
2017-07-08 11:12:18,115
2017-07-08 11:12:23,116
2017-07-08 11:12:28,114
2017-07-08 11:12:38,115
2017-07-08 11:12:48,112
2017-07-08 11:12:53,110
2017-07-08 11:12:58,111
2017-07-08 11:13:03,113
2017-07-08 11:13:09,116
2017-07-08 11:13:14,115
2017-07-08 11:13:19,116
2017-07-08 11:13:24,117
2017-07-08 11:13:29,118
2017-07-08 11:13:34,114
2017-07-08 11:13:39,113
2017-07-08 11:13:44,115
2017-07-08 11:13:54,113
2017-07-08 11:13:59,111
2017-07-08 11:14:04,109
2017-07-08 11:14:14,108
2017-07-08 11:14:19,102
2017-07-08 11:14:24,100
2017-07-08 11:14:29,96
2017-07-08 11:14:34,93
2017-07-08 11:14:39,95
2017-07-08 11:14:44,95
2017-07-08 11:14:49,99
2017-07-08 11:14:54,101
2017-07-08 11:15:04,99
2017-07-08 11:15:09,94
2017-07-08 11:15:14,97
2017-07-08 11:15:24,99
2017-07-08 11:15:29,101
2017-07-08 11:15:34,98
2017-07-08 11:15:39,96
2017-07-08 11:15:46,87
2017-07-08 11:15:56,88
2017-07-08 11:16:01,90
2017-07-08 11:16:06,91
2017-07-08 11:16:16,90
2017-07-08 11:16:21,87
2017-07-08 11:16:26,88
2017-07-08 11:16:31,89
2017-07-08 11:16:36,88
2017-07-08 11:16:51,90
